"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"20","177526890164","Narendra Modi","My programmes in Sri Lanka began with a visit to the Seema Malaka Temple, a place filled with calm and positivity.","2017-05-11T14:58:38+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158740223255165/?type=3","177526890164_10158740223770165","Narendra Modi added 4 new photos.",193832,1570,5462
"21","177526890164","Narendra Modi","Reached Colombo. I am happy to be in Sri Lanka, where I will join the International Vesak Day Celebrations.","2017-05-11T13:10:30+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158739695640165/?type=3","177526890164_10158739695640165",NA,458619,3258,15759
"22","177526890164","Narendra Modi","I will be in Sri Lanka for a two-day visit starting today, 11th May. This will be my second bilateral visit there in two years, a sign of our strong relationship. 

During my visit, I will join the International Vesak Day celebrations in Colombo on 12th May, where I will interact with leading Buddhist spiritual leaders, scholars and theologians. It is my honour to join these celebrations with President Maithripala Sirisena and Prime Minister Ranil Wickremesinghe. 

My visit brings to the fore one of the most abiding links between India and Sri Lanka- the shared heritage of Buddhism. 

During my last visit in 2015, I had the opportunity to visit Anuradhapura, a UNESCO world heritage site and a leading centre of Buddhism for centuries. This time, I will be privileged to pay respect at the revered Sri Dalada Maligawa in Kandy, also known as the Temple of the Sacred Tooth Relic.
 
My visit will commence in Colombo with a visit to the Seema Malaka at the Gangaramayya temple where I will take part in the traditional lamp lighting ceremony. 
 
I will be meeting with President Sirisena, Prime Minister Wickremesinghe and other eminent dignitaries.
 
I will also visit the up country region of Sri Lanka where I will inaugurate the Dickoya Hospital that has been built with Indian assistance, and have an interaction with the Indian-origin Tamil community.
 
I will be sharing more from Sri Lanka on social media. You can watch all my programmes in Sri Lanka live on the ‘Narendra Modi Mobile App.’","2017-05-11T01:33:18+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158737934285165/?type=3","177526890164_10158737934285165",NA,45868,1157,1579
"23","177526890164","Narendra Modi","Uploading of ICMIS on the Supreme Court’s website is a momentous step. Great usage of technology & towards a paperless Supreme Court.

Appealed to my lawyer friends to come forward & provide  pro-bono legal aid to the poor and needy. This will be an excellent service.","2017-05-10T15:04:14+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158735676685165/?type=3","177526890164_10158735676685165",NA,30397,688,1268
"24","177526890164","Narendra Modi","Greetings on the auspicious occasion of Buddha Purnima.","2017-05-10T01:28:54+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158733411115165/?type=3","177526890164_10158733411115165",NA,133510,1422,7456
"25","177526890164","Narendra Modi","Met noted actor Akshay Kumar.","2017-05-09T11:40:48+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158730439630165/?type=3","177526890164_10158730439630165",NA,208278,2501,5552
"26","177526890164","Narendra Modi","Here is my speech at the programme to mark the centenary celebrations of Bharat Sevashram Sangha. Centenary celebrations of BSS is a perfect time to recall the life of Swami Pranavananda & his outstanding contribution to society. 

Inspired by the ideals of Swami Pranavananda, BSS has been a wonderful combination of Seva & Shram. It has positively impacted many lives. http://nm-4.com/yyt4","2017-05-07T13:33:01+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158721969310165/?type=3","177526890164_10158721969310165",NA,92098,1779,2564
"27","177526890164","Narendra Modi","Successful launch of South Asian Satellite is a historic moment. I congratulate the team of scientists who worked hard for the successful launch of South Asia Satellite. We are very proud of them.","2017-05-05T14:29:18+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158713096415165/?type=3","177526890164_10158713096415165",NA,294945,4987,22897
"28","177526890164","Narendra Modi","Surrounded by the magnificent mountains, the mighty Himalayas.","2017-05-05T06:24:59+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158711736420165/?type=3","177526890164_10158711736420165",NA,145340,1894,4168
"29","177526890164","Narendra Modi","People's blessings are always humbling and are also a source of great energy.","2017-05-04T04:41:03+0000","photo","https://www.facebook.com/narendramodi/photos/a.10150164299700165.421791.177526890164/10158706719350165/?type=3","177526890164_10158706719350165",NA,211970,2414,9779
